price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
177.0,108,42.32932,-71.08925,Entire home/apt,3,325,4.81,STR-546631,Roxbury,1,1.0,Urban Oasis / Apartment perfect for work & create,16,t,96,16992.0,1
43.0,18,42.28411,-71.11693,Private room,29,0,4.56,none,Roslindale,3,1.0,Cozy private room near bus stop,3,f,174,7482.0,0
171.0,41,42.34118,-71.14678,Entire home/apt,180,355,4.44,Exempt: This listing is a unit used for furnished institutional or business stays,Brighton,33,1.0,"Cozy 1B, Green Line, Boston Coll, Elev, Roof Deck",2,f,255,43605.0,1
167.0,266,42.34441,-71.07633,Entire home/apt,1,254,4.6,STR-441260,South End,86,1.0,"Stylish Downtown Studio in the SouthEnd, C.Ave# 45",12,f,72,12024.0,1
168.0,186,42.34441,-71.07633,Entire home/apt,1,320,4.48,LB-101763,South End,86,0.0,"Stylish Downtown Studio in the SouthEnd, C.Ave# 43",27,f,162,27216.0,1
106.0,165,42.34447,-71.07644,Entire home/apt,1,190,4.52,STR-589702,South End,86,0.0,"Explore Newbury St, Fenway & South End Nearby #1",6,f,36,3816.0,1
228.0,281,42.34982,-71.08264,Entire home/apt,1,297,4.68,STR-445402,Back Bay,86,0.0,Iconic Newbury Street at Your Doorstep #10,16,f,96,21888.0,1
141.0,121,42.34441,-71.07633,Entire home/apt,1,324,4.51,STR-441244,South End,86,0.0,South End Studio Perfect for Work Travel #26,13,f,78,10998.0,1
107.0,189,42.34441,-71.07633,Entire home/apt,1,203,4.52,LB-101763,South End,86,0.0,Perfect Spot Near Boston's Cultural Hub #22,34,f,204,21828.0,1
184.0,263,42.34447,-71.07644,Entire home/apt,1,325,4.55,STR-589705,South End,86,0.0,"Minutes to Chinatown, Boston Common & Fenway Park",5,f,30,5520.0,1
160.0,139,42.31392,-71.06137,Entire home/apt,2,225,4.88,STR-547060,Dorchester,3,1.0,"Treetop+Balcony Suite, ocean view, safe, nr metro",27,t,162,25920.0,1
35.0,11,42.31676,-71.08,Private room,91,365,4.91,none,Roxbury,31,1.0,"Small room Easy to Downtown, Longwood Clean Sunny",0,f,0,0.0,0
133.0,166,42.34441,-71.07633,Entire home/apt,1,294,4.47,STR-441255,South End,86,0.0,Minutes from Boston Common & the Public Garden #23,29,f,174,23142.0,1
